athlete	country	medal	year
athlete_000	GER	Bronze	2020
athlete_001	JPN	Bronze	2021
athlete_002	AUS	Silver	2022
athlete_003	GER	Silver	2020
athlete_004	USA	Bronze	2021
athlete_005	USA	Silver	2022
athlete_006	USA	Gold	2020
athlete_007	GER	Silver	2021
athlete_008	USA	Bronze	2022
athlete_009	USA	Gold	2020
athlete_010	JPN	Silver	2021
athlete_011	USA	Gold	2022
athlete_012	JPN	Bronze	2020
athlete_013	USA	Gold	2021
athlete_014	USA	Bronze	2022
athlete_015	USA	Silver	2020
athlete_016	GBR	Gold	2021
athlete_017	USA	Silver	2022
athlete_018	USA	Gold	2020
athlete_019	JPN	Silver	2021
athlete_020	GER	Gold	2022
athlete_021	USA	Gold	2020
athlete_022	JPN	Gold	2021
athlete_023	GBR	Silver	2022
athlete_024	GER	Silver	2020
athlete_025	USA	Silver	2021
athlete_026	USA	Silver	2022
athlete_027	USA	Silver	2020
athlete_028	USA	Bronze	2021
athlete_029	GBR	Bronze	2022
athlete_030	GER	Gold	2020
athlete_031	GBR	Bronze	2021
athlete_032	GBR	Bronze	2022
athlete_033	JPN	Silver	2020
athlete_034	JPN	Bronze	2021
athlete_035	USA	Gold	2022
athlete_036	GBR	Silver	2020
athlete_037	USA	Silver	2021
athlete_038	USA	Bronze	2022
athlete_039	GBR	Bronze	2020
athlete_040	JPN	Silver	2021
athlete_041	GER	Gold	2022
athlete_042	GBR	Bronze	2020
athlete_043	JPN	Bronze	2021
athlete_044	JPN	Bronze	2022
athlete_045	USA	Silver	2020
athlete_046	GER	Gold	2021
athlete_047	AUS	Bronze	2022
athlete_048	GER	Gold	2020
athlete_049	USA	Gold	2021
athlete_050	GER	Silver	2022
athlete_051	AUS	Silver	2020
athlete_052	USA	Bronze	2021
athlete_053	GER	Bronze	2022
athlete_054	USA	Silver	2020
athlete_055	USA	Gold	2021
athlete_056	USA	Silver	2022
athlete_057	USA	Silver	2020
athlete_058	JPN	Bronze	2021
athlete_059	JPN	Gold	2022
athlete_060	AUS	Silver	2020
athlete_061	USA	Silver	2021
athlete_062	USA	Silver	2022
